SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1391 Pennsylvania Ave SE #202,Washington,DC,20003,414900,1,1.0,Old City #1,850,,2007,4,488,455,Active,June-24-2018 01:00 PM,June-24-2018 04:00 PM,http://www.redfin.com/DC/Washington/1391-Pennsylvania-Ave-SE-20003/unit-202/home/12531467,MRIS,DC10272065,N,Y,38.8802061,-76.9876123
MLS Listing,,Condo/Co-op,5410 Connecticut Ave NW #308,Washington,DC,20015,269000,1,1.0,Chevy Chase,510,,1957,4,527,434,Active,June-24-2018 01:00 PM,June-24-2018 04:00 PM,http://www.redfin.com/DC/Washington/5410-Connecticut-Ave-NW-20015/unit-308/home/145767096,MRIS,DC10271549,N,Y,38.961853376,-77.07387407
MLS Listing,,Condo/Co-op,311 4th St SE #1,Washington,DC,20003,299900,1,1.0,Capitol Hill,491,,1900,4,611,300,Active,,,http://www.redfin.com/DC/Washington/311-4th-St-SE-20003/unit-1/home/9894288,MRIS,DC10271148,N,Y,38.8849496,-77.0007114
MLS Listing,,Townhouse,3538 W Pl NW,Washington,DC,20007,924900,4,2.0,Glover Park,1728,2240,1936,5,535,,Active,,,http://www.redfin.com/DC/Washington/3538-W-St-NW-20007/home/9933549,MRIS,DC10269796,N,Y,38.918407,-77.071688
MLS Listing,,Single Family Residential,5522 Blair Rd NE,Washington,DC,20011,499000,2,2.0,Chillum,1368,2868,1939,6,365,,Active,,,http://www.redfin.com/DC/Washington/5522-Blair-Rd-NE-20011/home/10078015,MRIS,DC10269772,N,Y,38.9573484,-77.0081579
MLS Listing,,Condo/Co-op,1939 12th St NW #403,Washington,DC,20009,524900,1,1.0,Old City #2,746,,2009,6,704,456,Active,,,http://www.redfin.com/DC/Washington/1939-12th-St-NW-20009/unit-403/home/28486619,MRIS,DC10269759,N,Y,38.9166276,-77.027795
MLS Listing,,Single Family Residential,3500 Highwood Dr SE,Washington,DC,20020,549000,5,3.0,Hill Crest,2599,9706,1942,6,211,,Active,,,http://www.redfin.com/DC/Washington/3500-Highwood-Dr-SE-20020/home/10145415,MRIS,DC10269761,N,Y,38.8694972,-76.9549666
MLS Listing,,Townhouse,1439 Northgate Rd NW,Washington,DC,20012,799000,4,2.5,Shepherd Park,3526,5991,1952,6,227,,Active,,,http://www.redfin.com/DC/Washington/1439-Northgate-Rd-NW-20012/home/10021466,MRIS,DC10269734,N,Y,38.9894012,-77.0346977
MLS Listing,,Townhouse,605 K St NE #2,Washington,DC,20002,799000,2,2.0,Old City #1,1164,,1907,7,686,283,Active,,,http://www.redfin.com/DC/Washington/605-K-St-NE-20002/unit-2/home/21647135,MRIS,DC10268540,N,Y,38.9022284,-76.9981244
MLS Listing,,Condo/Co-op,1526 17th St NW #401,Washington,DC,20036,359900,1,1.0,Old City #2,650,,1916,11,554,823,Active,,,http://www.redfin.com/DC/Washington/1526-17th-St-NW-20036/unit-401/home/28687202,MRIS,DC10264341,N,Y,38.9106399,-77.0387706
